symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-10-14 00:00:00+00:00,121.19,123.03,119.62,121,151062308,119.2136969,121.0236912,117.6692997,119.0267953,151062308,0,1
AAPL,2020-10-15 00:00:00+00:00,120.71,121.2,118.15,118.72,112559219,118.7415245,119.2235339,116.2232717,116.7839764,112559219,0,1
AAPL,2020-10-16 00:00:00+00:00,119.02,121.548,118.81,121.28,115393808,117.0790842,119.5658589,116.8725087,119.3022293,115393808,0,1
AAPL,2020-10-19 00:00:00+00:00,115.98,120.419,115.66,119.96,120639337,114.0886589,118.45527,113.7738773,118.0037551,120639337,0,1
AAPL,2020-10-20 00:00:00+00:00,117.51,118.98,115.63,116.2,124423728,115.5937084,117.0397364,113.7443665,114.3050712,124423728,0,1
AAPL,2020-10-21 00:00:00+00:00,116.87,118.705,116.45,116.67,89945980,114.9641452,116.769221,114.5509944,114.7674067,89945980,0,1
AAPL,2020-10-22 00:00:00+00:00,115.75,118.04,114.59,117.45,101987954,113.8624096,116.1150655,112.7213263,115.5346869,101987954,0,1
AAPL,2020-10-23 00:00:00+00:00,115.04,116.55,114.28,116.39,82572645,113.1639879,114.6493636,112.4163816,114.4919728,82572645,0,1
AAPL,2020-10-26 00:00:00+00:00,115.05,116.55,112.88,114.01,111850657,113.1738248,114.6493636,111.0392121,112.1507846,111850657,0,1
AAPL,2020-10-27 00:00:00+00:00,116.6,117.28,114.5399,115.49,92276772,114.6985482,115.3674592,112.6720433,113.6066495,92276772,0,1
AAPL,2020-10-28 00:00:00+00:00,111.2,115.43,111.1,115.05,143937823,109.3866086,113.547628,109.2882394,113.1738248,143937823,0,1
AAPL,2020-10-29 00:00:00+00:00,115.32,116.93,112.2,112.37,146129173,113.4394218,115.0231668,110.3703011,110.5375289,146129173,0,1
AAPL,2020-10-30 00:00:00+00:00,108.86,111.99,107.72,111.06,190573476,107.0847681,110.1637257,105.9633586,109.2488917,190573476,0,1
AAPL,2020-11-02 00:00:00+00:00,108.77,110.68,107.32,109.11,122866899,106.9962358,108.8750885,105.5698816,107.3306912,122866899,0,1
